m,T,r,v0,kappa,theta,sigma_v,rho,price
1.0205225443292143,0.721132651979573,0.06115211896197217,0.058227715773723036,3.2035555053653444,0.030715099581817576,0.3594575503539893,-0.2361588956150743,8.319422115422544
1.0655274141867266,0.1093079766272363,-0.005738823330116308,0.041815175637992426,2.9164884045905697,0.047403734110996784,0.2795548183496315,-0.6804955202475678,0.5684398655460733
0.6729633285866157,0.7205624285492218,0.08041038760080423,0.05837050281067785,3.5359992552541617,0.07743069232601876,0.21758271756671815,-0.6213420090046444,38.581749013186226
0.9702856424736636,0.12511819707063015,0.05710791139300841,0.06841580609522378,1.875306693628463,0.06880735044272324,0.35761722134709706,-0.11750808318911343,6.027520952061112
0.7705305534021667,0.9787329004270598,-0.005537706452348631,0.04792260312283856,2.1091708380794927,0.07690023297208921,0.47589235036353894,-0.19924386207656386,25.726334459527095
1.227193255019369,0.6252286491477433,-0.004850090204886348,0.0568623687979135,0.6911191754374295,0.022711763480967102,0.12726188977888683,-0.8933002729304195,0.7549860381056875
0.9651933877412682,0.8514821880253358,-0.007452036758162216,0.047217414585795564,3.4953710602140573,0.07588615968829042,0.679025116161688,-0.872296873590045,10.91501217052695
0.7814113004137353,0.846319218293902,0.0549581479908302,0.06688897976152096,2.056483123547469,0.0808499447892351,0.5086820115640194,-0.8672822999155606,28.806299745969334
1.06667423064309,0.43898778218872014,0.062157197222876305,0.06662456857448942,2.909817974503158,0.08710050570724479,0.4234073819897791,-0.8566859431516838,5.462592794768919
0.7156840469742205,0.7499816440836954,0.05076486172254003,0.08606022778212927,4.669288508928108,0.0815543371989643,0.3024967144491252,-0.9141641193935671,33.61896471427628
1.07859361406017,0.7599055453581416,0.07872878068641381,0.04648686929355275,3.5222409939526527,0.07261910762570027,0.634563403616516,-0.9264571604587267,7.625912345923757
0.9369948409980764,1.0242213369158606,0.07960460094984767,0.08194752503391266,2.4590509191482903,0.053605325781185514,0.26941735038118353,-0.11552588583920897,18.69951764689982
1.3490114923594607,0.7209407916037723,0.08921762173080885,0.08178341394664987,3.4514367391933902,0.05771497598325472,0.3324407251980338,-0.5386516246438311,1.3616300284674159
1.310691386555313,1.3295432237489528,0.046003145541467866,0.02781894082814461,3.0740609005461454,0.05524300899443712,0.33179038609105227,-0.5410135360704478,2.700184320320015
0.9121475505970524,1.3097345764572719,0.07239254149044119,0.04118303704265137,2.947362181895413,0.06480865377995688,0.5061668635956296,-0.3517604454603266,22.00149606629573
1.0556259572087192,0.9764167838187281,0.01618944857353713,0.014792186607663751,4.170557025895617,0.06416225034958761,0.2672278749642627,-0.9155189532554892,7.395997602971827
0.6324162043475318,1.1536287653296504,0.0969971804557563,0.024009086778710814,3.92803852369956,0.024857402850149805,0.4184054186346503,-0.42221903592325916,45.66062299817126
